date_value,country_code,confirmed,deaths,stringency_actual,stringency,stringency_legacy,stringency_legacy_disp
2020-01-01,AGO,na,na,0,0,0,0
2020-01-01,AFG,na,na,0,0,0,0
2020-01-01,ABW,na,na,0,0,0,0
2020-01-01,KWT,na,na,0,0,0,0
2020-01-01,KOR,na,na,0,0,0,0
2020-01-01,KIR,na,na,0,0,0,0
2020-01-01,KHM,na,na,0,0,0,0
2020-01-01,KGZ,na,na,0,0,0,0
2020-01-01,KEN,na,na,0,0,0,0
2020-01-01,KAZ,na,na,0,0,0,0
2020-01-01,JPN,na,na,0,0,0,0
2020-01-01,JOR,na,na,0,0,0,0
2020-01-01,JAM,na,na,0,0,0,0
2020-01-01,ITA,na,na,0,0,0,0
2020-01-01,ISR,na,na,0,0,0,0
2020-01-01,ISL,na,na,0,0,0,0
2020-01-01,IRQ,na,na,0,0,0,0
2020-01-01,IRN,na,na,0,0,0,0
2020-01-01,IRL,na,na,0,0,0,0
2020-01-01,IND,na,na,0,0,0,0
2020-01-01,IDN,na,na,0,0,0,0
2020-01-01,HUN,na,na,0,0,0,0
2020-01-01,HTI,na,na,0,0,0,0
2020-01-01,HRV,na,na,0,0,0,0
2020-01-01,HND,na,na,0,0,0,0
2020-01-01,HKG,na,na,13.89,13.89,17.86,17.86
2020-01-01,DNK,na,na,0,0,0,0
2020-01-01,DOM,na,na,0,0,0,0
2020-01-01,DZA,na,na,0,0,0,0
2020-01-01,ECU,na,na,0,0,0,0
2020-01-01,EGY,na,na,0,0,0,0
2020-01-01,ERI,na,na,0,0,0,0
2020-01-01,ESP,na,na,0,0,0,0
2020-01-01,EST,na,na,0,0,0,0
2020-01-01,ETH,na,na,0,0,0,0
2020-01-01,FIN,na,na,0,0,0,0
2020-01-01,FJI,na,na,0,0,0,0
2020-01-01,FRA,na,na,0,0,0,0
2020-01-01,FRO,na,na,0,0,0,0
2020-01-01,GAB,na,na,0,0,0,0
2020-01-01,GBR,na,na,0,0,0,0
2020-01-01,GEO,na,na,0,0,0,0
2020-01-01,GHA,na,na,0,0,0,0
2020-01-01,GIN,na,na,0,0,0,0
2020-01-01,GMB,na,na,0,0,0,0
2020-01-01,GRC,na,na,0,0,0,0
2020-01-01,GRL,na,na,0,0,0,0
2020-01-01,GTM,na,na,0,0,0,0
2020-01-01,GUM,na,na,0,0,0,0
2020-01-01,GUY,na,na,0,0,0,0
