date_value,country_code,confirmed,deaths,stringency_actual,stringency,stringency_legacy,stringency_legacy_disp
2020-01-22,SDN,0,0,0,0,0,0
2020-01-22,SEN,0,0,0,0,0,0
2020-01-22,SGP,0,0,19.44,19.44,26.43,26.43
2020-01-22,SLB,0,0,0,0,0,0
2020-01-22,SLE,0,0,0,0,0,0
2020-01-22,SLV,0,0,0,0,0,0
2020-01-22,SMR,0,0,0,0,0,0
2020-01-22,SOM,0,0,0,0,0,0
2020-01-22,SRB,0,0,2.78,2.78,3.57,3.57
2020-01-22,SSD,0,0,0,0,0,0
2020-01-22,SUR,0,0,0,0,0,0
2020-01-22,SVK,0,0,0,0,0,0
2020-01-22,LAO,0,0,0,0,0,0
2020-01-22,LBN,0,0,0,0,0,0
2020-01-22,LBR,0,0,0,0,0,0
2020-01-22,LBY,0,0,0,0,0,0
2020-01-22,LIE,0,0,0,0,0,0
2020-01-22,LKA,0,0,0,0,0,0
2020-01-22,LSO,0,0,0,0,0,0
2020-01-22,LTU,0,0,0,0,0,0
2020-01-22,LUX,0,0,0,0,0,0
2020-01-22,LVA,0,0,0,0,0,0
2020-01-22,MAC,1,0,13.89,13.89,17.86,17.86
2020-01-22,MAR,0,0,0,0,0,0
2020-01-22,MCO,0,0,0,0,0,0
2020-01-22,MDA,0,0,0,0,0,0
2020-01-22,MDG,0,0,0,0,0,0
2020-01-22,MEX,0,0,0,0,0,0
2020-01-22,MLI,0,0,0,0,0,0
2020-01-22,MLT,0,0,0,0,0,0
2020-01-22,MMR,0,0,0,0,0,0
2020-01-22,MNG,0,0,11.11,11.11,14.29,14.29
2020-01-22,MOZ,0,0,0,0,0,0
2020-01-22,MRT,0,0,0,0,0,0
2020-01-22,MUS,0,0,0,0,0,0
2020-01-22,MWI,0,0,0,0,0,0
2020-01-22,MYS,0,0,11.11,11.11,14.29,14.29
2020-01-22,NAM,0,0,0,0,0,0
2020-01-22,NER,0,0,0,0,0,0
2020-01-22,NGA,0,0,5.56,5.56,9.52,9.52
2020-01-22,NIC,0,0,0,0,0,0
2020-01-22,NLD,0,0,0,0,0,0
2020-01-22,CHL,0,0,0,0,0,0
2020-01-22,CHN,547,17,26.39,26.39,20.95,20.95
2020-01-22,CIV,0,0,0,0,0,0
2020-01-22,CMR,0,0,0,0,0,0
2020-01-22,COD,0,0,0,0,0,0
2020-01-22,COG,0,0,0,0,0,0
2020-01-22,COL,0,0,8.33,8.33,9.52,9.52
2020-01-22,CPV,0,0,0,0,0,0
2020-01-22,CRI,0,0,0,0,0,0
2020-01-22,CUB,0,0,0,0,0,0
2020-01-22,CYP,0,0,0,0,0,0
2020-01-22,CZE,0,0,0,0,0,0
2020-01-22,DEU,0,0,0,0,0,0
2020-01-22,DJI,0,0,0,0,0,0
2020-01-22,DMA,0,0,0,0,0,0
2020-01-22,DNK,0,0,0,0,0,0
2020-01-22,DOM,0,0,0,0,0,0
2020-01-22,DZA,0,0,0,0,0,0
2020-01-22,ECU,0,0,0,0,0,0
2020-01-22,EGY,0,0,0,0,0,0
2020-01-22,ERI,0,0,0,0,0,0
2020-01-22,ESP,0,0,0,0,0,0
2020-01-22,EST,0,0,0,0,0,0
2020-01-22,ETH,0,0,0,0,0,0
2020-01-22,FIN,0,0,0,0,0,0
2020-01-22,FJI,0,0,11.11,11.11,14.29,14.29
2020-01-22,FRA,0,0,2.78,2.78,3.57,3.57
2020-01-22,FRO,0,0,0,0,0,0
2020-01-22,GAB,0,0,5.56,5.56,9.52,9.52
2020-01-22,GBR,0,0,5.56,5.56,9.52,9.52
2020-01-22,GEO,0,0,0,0,0,0
2020-01-23,KWT,0,0,5.56,5.56,9.52,9.52
2020-01-23,KOR,1,0,0,0,0,0
2020-01-23,KIR,0,0,0,0,0,0
2020-01-23,KHM,0,0,0,0,0,0
2020-01-23,KGZ,0,0,2.78,2.78,3.57,3.57
2020-01-23,KEN,0,0,2.78,2.78,3.57,3.57
2020-01-23,KAZ,0,0,0,0,0,0
